"city","state_id","lat","lng","population"
"Prairie Ridge","WA","47.1443","-122.1408",""
"Edison","WA","48.5602","-122.4311",""
"Packwood","WA","46.6085","-121.6702",""
"Wautauga Beach","WA","47.5862","-122.5482",""
"Harper","WA","47.5207","-122.5196",""
"Telma","WA","47.8432","-120.8157",""
"Kahlotus","WA","46.6436","-118.5566","189"
"Mondovi","WA","47.6813","-118.0164",""
"Washtucna","WA","46.7539","-118.3104","195"
"Pleasant Hill","WA","47.6154","-121.9096",""
"Toledo","WA","46.4412","-122.8494","738"
"Wabash","WA","47.2429","-122.0576",""
"Renton","WA","47.4757","-122.1904","100953"
"Chehalis","WA","46.6649","-122.9660","7498"
"Central Valley","WA","47.6632","-122.6499",""
"Lake City","WA","47.1487","-122.5512",""
"Megler","WA","46.2509","-123.8576",""
"Alder","WA","46.7872","-122.2666",""
"Ronald","WA","47.2338","-121.0335",""
"Belvedere","WA","48.0499","-118.9850",""
"Waverly","WA","47.3380","-117.2313","110"
"Turner Corner","WA","47.8045","-122.1435",""
"Lofall","WA","47.8113","-122.6564",""
"Kennydale","WA","47.5207","-122.2068",""
"Easton","WA","47.2405","-121.1733",""
"Navy Yard City","WA","47.5508","-122.6654",""
"Mercer Island","WA","47.5624","-122.2265","25134"
"Lynnwood","WA","47.8285","-122.3034","38092"
"Coulee City","WA","47.6123","-119.2890","569"
"Douglas","WA","47.6212","-120.0048",""
"Centralia","WA","46.7226","-122.9695","41077.0"
"Colbert","WA","47.8266","-117.3419",""
"Bryn Mawr","WA","47.5034","-122.2329",""
"Silverdale","WA","47.6663","-122.6828",""
"Lyle","WA","45.6956","-121.2805",""
"Malott","WA","48.2919","-119.6954",""
"Mountlake Terrace","WA","47.7921","-122.3077","21182"
"Ilwaco","WA","46.3099","-124.0417","929"
"Fairwood","WA","47.4467","-122.1430",""
"Warm Beach","WA","48.1649","-122.3442",""
"Thomas","WA","47.3537","-122.2290",""
"Parker","WA","46.5022","-120.4668",""
"Steptoe","WA","47.0075","-117.3502",""
