Röntgen	Wilhelm Conrad	1901
Lorentz	Hendrik Antoon	1902
Zeeman	Pieter	1902
Becquerel	Antoine Henri	1903
Curie	Pierre	1903
Curie, née Sklodowska	Marie	1903 1911
(John William Strutt)	Lord Rayleigh	1904
von Lenard	Philipp Eduard Anton	1905
Thomson	Joseph John	1906
Michelson	Albert Abraham	1907
Lippmann	Gabriel	1908
Marconi	Guglielmo	1909
Braun	Karl Ferdinand	1909
van der Waals	Johannes Diderik	1910
Wien	Wilhelm	1911
Dalén	Nils Gustaf	1912
Kamerlingh Onnes	Heike	1913
von Laue	Max	1914
Bragg	Sir William Henry	1915
Bragg	William Lawrence	1915
Barkla	Charles Glover	1917
Planck	Max Karl Ernst Ludwig	1918
Stark	Johannes	1919
Guillaume	Charles Edouard	1920
Einstein	Albert	1921
Bohr	Niels Henrik David	1922
Millikan	Robert Andrews	1923
Siegbahn	Karl Manne Georg	1924
Franck	James	1925
Hertz	Gustav Ludwig	1925
Perrin	Jean Baptiste	1926
Compton	Arthur Holly	1927
Wilson	Charles Thomson Rees	1927
Richardson	Owen Willans	1928
de Broglie	Prince Louis-Victor Pierre Raymond	1929
Raman	Sir Chandrasekhara Venkata	1930
Heisenberg	Werner Karl	1932
Schrödinger	Erwin	1933
Dirac	Paul Adrien Maurice	1933
Chadwick	James	1935
Hess	Victor Franz	1936
Anderson	Carl David	1936
Davisson	Clinton Joseph	1937
Thomson	George Paget	1937
Fermi	Enrico	1938
Lawrence	Ernest Orlando	1939
Stern	Otto	1943
Rabi	Isidor Isaac	1944
Pauli	Wolfgang	1945
Bridgman	Percy Williams	1946
Appleton	Sir Edward Victor	1947
Blackett	Patrick Maynard Stuart	1948
Yukawa	Hideki	1949
Powell	Cecil Frank	1950
Cockcroft	Sir John Douglas	1951
Walton	Ernest Thomas Sinton	1951
Bloch	Felix	1952
Purcell	Edward Mills	1952
Zernike	Frits	1953
Born	Max	1954
Bothe	Walther	1954
Lamb	Willis Eugene	1955
Kusch	Polykarp	1955
Shockley	William Bradford	1956
Bardeen	John	1956 1972
Brattain	Walter Houser	1956
Yang	Chen Ning	1957
Lee	Tsung-Dao (T.D.)	1957
Cherenkov	Pavel Alekseyevich	1958
Tamm	Igor Yevgenyevich	1958
Segrè	Emilio Gino	1959
Chamberlain	Owen	1959
Glaser	Donald Arthur	1960
Hofstadter	Robert	1961
Mössbauer	Rudolf Ludwig	1961
Landau	Lev Davidovich	1962
Wigner	Eugene Paul	1963
Goeppert Mayer	Maria	1963
Jensen	J. Hans D.	1963
Townes	Charles Hard	1964
Basov	Nicolay Gennadiyevich	1964
Prokhorov	Aleksandr Mikhailovich	1964
Tomonaga	Sin-Itiro	1965
Schwinger	Julian	1965
Feynman	Richard P.	1965
Kastler	Alfred	1966
Bethe	Hans Albrecht	1967
Alvarez	Luis Walter	1968
Gell-Mann	Murray	1969
Alfvén	Hannes Olof Gösta	1970
Néel	Louis Eugène Félix	1970
Gabor	Dennis	1971
Cooper	Leon Neil	1972
Schrieffer	John Robert	1972
Esaki	Leo	1973
Giaever	Ivar	1973
Josephson	Brian David	1973
Ryle	Sir Martin	1974
Hewish	Antony	1974
Bohr	Aage Niels	1975
Mottelson	Ben Roy	1975
Rainwater	Leo James	1975
Richter	Burton	1976
Ting	Samuel Chao Chung	1976
Anderson	Philip Warren	1977
Mott	Sir Nevill Francis	1977
van Vleck	John Hasbrouck	1977
Kapitsa	Pyotr Leonidovich	1978
Penzias	Arno Allan	1978
Wilson	Robert Woodrow	1978
Glashow	Sheldon Lee	1979
Salam	Abdus	1979
Weinberg	Steven	1979
Cronin	James Watson	1980
Fitch	Val Logsdon	1980
Bloembergen	Nicolaas	1981
Schawlow	Arthur Leonard	1981
Siegbahn	Kai M.	1981
Wilson	Kenneth G.	1982
Chandrasekhar	Subramanyan	1983
Fowler	William Alfred	1983
Rubbia	Carlo	1984
van der Meer	Simon	1984
von Klitzing	Klaus	1985
Ruska	Ernst	1986
Binnig	Gerd	1986
Rohrer	Heinrich	1986
Bednorz	J. Georg	1987
Müller	K. Alexander	1987
Lederman	Leon M.	1988
Schwartz	Melvin	1988
Steinberger	Jack	1988
Ramsey	Norman F.	1989
Dehmelt	Hans G.	1989
Paul	Wolfgang	1989
Friedman	Jerome I.	1990
Kendall	Henry W.	1990
Taylor	Richard E.	1990
de Gennes	Pierre-Gilles	1991
Charpak	Georges	1992
Hulse	Russell A.	1993
Taylor Jr.	Joseph H.	1993
Brockhouse	Bertram N.	1994
Shull	Clifford G.	1994
Perl	Martin L.	1995
Reines	Frederick	1995
Lee	David M.	1996
Osheroff	Douglas D.	1996
Richardson	Robert C.	1996
Chu	Steven	1997
Cohen-Tannoudji	Claude	1997
Phillips	William D.	1997
Laughlin	Robert B.	1998
Störmer	Horst L.	1998
Tsui	Daniel C.	1998
't Hooft	Gerardus	1999
Veltman	Martinus J.G.	1999
van 't Hoff	Jacobus Henricus	1901
Fischer	Hermann Emil	1902
Arrhenius	Svante August	1903
Ramsay	Sir William	1904
von Baeyer	Johann Friedrich Wilhelm Adolf	1905
Moissan	Henri	1906
Buchner	Eduard	1907
Rutherford	Ernest	1908
